gene_id	Bark1	Bark2	Bark3	Flower1	Flower2	Flower3	Fruit1	Fruit2	Fruit3	Leaf1	Leaf2	Leaf3	Root1	Root2	Root3	Wood1	Wood2	Wood3
Khe06513	1.13	1.07	1.22	27.48	27.91	27.56	3.89	3.7	3.6	1.03	1.2	1.12	30.86	64.88	64.25	0.73	0.47	0.85
Khe06773	6.79	6.52	6.67	5.42	5.5	4.48	1.89	2.3	2.3	12.58	12.92	12.23	55.63	16.55	16.68	6.11	6.29	6.38
Khe06881	10.55	10.03	10.78	10.07	9.45	9.58	7.41	7.17	7.64	9.37	8.35	8.22	16.36	17.8	17.47	9.27	8.66	9.22
Khe06882	21.11	20.67	21.22	10.23	9.91	10.11	9.65	10.74	9.75	9.83	10.23	10.17	11.68	11.9	12.28	14.84	15.66	14.41
Khe06883	0.2	0.11	0.09	0.23	0.14	0.17	0.5	0.17	0.16	0	0.17	0.21	0.08	0.1	0.06	0.05	0.18	0.12
Khe06888	5.23	7.13	6.51	6.06	5.81	5.72	9.51	9.79	9.94	0	0	0	0.11	0.08	0.11	0.46	0.48	0.46
Khe06889	0.17	0.2	0.22	4.41	3.24	3.86	5.48	6.67	6.46	0	0	0	0.95	2.32	2.06	0.08	0.19	0.1
Khe06890	1.21	1.5	1.31	0.33	0.37	0.4	0	0	0	0	0	0	1.76	8.05	9.37	1.1	1.01	1.07
Khe06891	6.87	7.92	6.66	1.08	0.83	0.77	0.62	0.93	0.62	0.56	0.47	0.51	11.04	19.34	19.73	25.23	26.96	25.2
Khe06894	0	0	0	0	0	0	0	0	0	0	0	0	26.02	81.58	77.15	0	0	0
Khe06895	19.26	22.28	20.41	15.73	15.24	14.96	2.88	3.66	3.64	8.78	8.48	7.89	0.14	0.06	0.13	0.84	0.44	0.53
Khe06983	3.5	4.61	2.91	7.92	6.54	6.44	35.19	36.63	41.03	125.53	125.08	123.35	0	0	0	0.15	0.24	0.42
Khe06984	0.15	0.13	0.31	0.09	0.09	0.08	0.29	0.24	0.2	0.05	0.03	0.03	0.51	1.06	1.01	0.34	0.42	0.2
Khe07225	0.02	0.04	0.04	0.27	0.11	0.18	78.58	78.74	79.6	0.06	0	0.07	0	0	0	0	0	0
Khe07297	11.51	9.98	10.7	28.59	27.34	27.97	23.62	22.71	22.34	40.25	37.5	39.41	63.57	100.42	100.22	9.58	8.66	8.13
Khe07339	59.41	58.88	57.66	2.8	3	2.94	0.25	0.24	0.08	17.8	19.7	20.19	9.86	11.42	11.06	35.91	37.25	37.79
Khe07353	10.81	7.2	9.22	0.83	0.59	0.81	0	0.15	0.07	6.41	4.62	5.67	19.15	17.89	17.43	0.53	0.98	0.33
